value
-5.047583069
-2.392928061
-0.084977789
1.587093408
2.435888557
2.403810152
1.568470711
0.124787351
-1.652688398
-3.460010997
-5.017144699
-6.114356969
-6.643259499
-6.607284996
-6.110607162
-5.328786218
-4.467849456
-3.720440624
-3.227804371
-3.054800407
-3.182267956
-3.517493525
-3.919964886
-4.236670511
-4.339432888
-4.156444183
-3.69136116
-3.025822437
-2.304645814
-1.706614485
-1.406917867
-1.539253655
-2.165816208
-3.261764397
-4.717601299
-6.358922036
-7.979129543
-9.377903389
-10.39710651
-10.94667096
-11.01555938
-10.66647191
-10.0166525
-9.210063289
-8.387709533
-7.66274919
-7.105353296
-6.739578163
-6.551468659
-6.504977842
-6.56066488
-6.691835187
-6.893783625
-7.183764646
-7.591730649
-8.144191733
-8.845269444
-9.65981987
-10.50326814
-11.24159962
-11.70301361
-11.70039029
-11.06136054
-9.660854254
-7.449971482
-4.475180651
-0.88327763
3.089974851
7.146554142
10.96428292
14.2401317
16.73145892
18.28825948
18.87110127
18.55195926
17.49810808
15.94207476
14.14290943
12.345349
10.7436417
9.455871926
8.512754727
7.862367787
7.389538725
6.946027508
6.385670201
5.597681333
4.53161754
3.209111076
1.720115696
0.204544018
-1.176833972
-2.276136412
-2.989669588
-3.280157362
-3.185142107
-2.809717172
-2.305116398
-1.837759015
-1.555419361
-1.557765238
-1.877445021
-2.475460654
-3.251337325
-4.065371403
-4.767768707
-5.228316497
-5.360543377
-5.135903449
-4.585883387
-3.792477053
-2.869668468
-1.940041034
-1.111212706
-0.456486943
-0.003057858
0.270433423
0.426932318
0.556193917
0.755150737
1.107257686
1.66489933
2.438455156
3.394359797
4.462616625
5.552096852
6.570114339
7.441735983
8.12439671
8.614631574
8.945765397
9.177633485
9.3812287
9.622117642
9.946360518
10.37163901
10.88473142
11.44487897
11.99141595
12.45354761
12.76034742
12.84967095
12.6754008
12.21293505
11.46295697
10.45331747
9.238530079
7.89619872
6.5199
5.208700564
4.054477484
3.129211677
2.475027976
